 lat ; lng;lat antenne;long antenne; RSSI ; RSSI packet ; SNR ;distance;Fréquence (MHz);Puissance émission (dBm);Perte;x;x moyen;Perte théorique (dB);
43,5702;1,4667;43,5707141;1,4660495;-112;-89;6;0,077552145;868,1;14;104,4;67,83672863;65,62097852;102,1842499;
43,5709;1,467;43,5707141;1,4660495;-114;-79;6;0,079316382;868,1;14;94,4;57,64134697;65,62097852;102,3796316;
43,5712;1,4653;43,5707141;1,4660495;-113;-77;7;0,081025873;868,1;14;92,4;55,45613055;65,62097852;102,564848;
43,5712;1,4668;43,5707141;1,4660495;-112;-81;8;0,081085916;868,1;14;96,4;59,44969635;65,62097852;102,5712822;
43,5701;1,4655;43,5707141;1,4660495;-110;-75;7;0,081379598;868,1;14;90,4;53,41829403;65,62097852;102,6026845;
43,5701;1,4666;43,5707141;1,4660495;-115;-86;7;0,081423499;868,1;14;101,4;64,4136097;65,62097852;102,6073688;
43,5701;1,4666;43,5707141;1,4660495;-113;-93;8;0,081423499;868,1;14;108,4;71,4136097;65,62097852;102,6073688;
43,5703;1,4669;43,5707141;1,4660495;-112;-96;7;0,082553761;868,1;14;111,4;74,29386757;65,62097852;102,7271109;
43,5702;1,4668;43,5707141;1,4660495;-114;-91;8;0,083208555;868,1;14;106,4;69,2252453;65,62097852;102,7957332;
43,5713;1,4667;43,5707141;1,4660495;-111;-81;7;0,083611215;868,1;14;96,4;59,18331416;65,62097852;102,8376644;
43,5704;1,467;43,5707141;1,4660495;-112;-91;8;0,084164733;868,1;14;106,4;69,12600187;65,62097852;102,8949766;
43,5714;1,4665;43,5707141;1,4660495;-114;-87;8;0,08446377;868,1;14;102,4;65,09519566;65,62097852;102,9257829;
43,5708;1,4671;43,5707141;1,4660495;-112;-82;7;0,08516908;868,1;14;97,4;60,02296579;65,62097852;102,9980127;
43,5706;1,4671;43,5707141;1,4660495;-109;-81;8;0,085577734;868,1;14;96,4;58,98138923;65,62097852;103,0395893;
43,5712;1,4652;43,5707141;1,4660495;-113;-87;8;0,087195216;868,1;14;102,4;64,81875173;65,62097852;103,2022268;
43,5714;1,4666;43,5707141;1,4660495;-112;-84;8;0,088225952;868,1;14;99,4;61,71667777;65,62097852;103,3043007;
43,5715;1,4664;43,5707141;1,4660495;-111;-88;7;0,091836984;868,1;14;103,4;65,3682526;65,62097852;103,6527259;
43,5707;1,4672;43,5707141;1,4660495;-107;-81;6;0,092701487;868,1;14;96,4;58,28687087;65,62097852;103,7341076;
43,5706;1,4672;43,5707141;1,4660495;-101;-81;7;0,093552655;868,1;14;96,4;58,20748253;65,62097852;103,813496;
43,57;1,4667;43,5707141;1,4660495;-113;-82;6;0,095139474;868,1;14;97,4;59,06138995;65,62097852;103,9595886;
43,5705;1,4672;43,5707141;1,4660495;-109;-82;8;0,095696947;868,1;14;97,4;59,01064326;65,62097852;104,0103353;
43,5716;1,4662;43,5707141;1,4660495;-113;-86;6;0,099250938;868,1;14;101,4;62,69391247;65,62097852;104,327066;
43,5713;1,4651;43,5707141;1,4660495;-113;-79;6;0,100478059;868,1;14;94,4;55,58718013;65,62097852;104,4337984;
43,5716;1,4663;43,5707141;1,4660495;-110;-85;8;0,100553557;868,1;14;100,4;61,58065614;65,62097852;104,4403224;
43,5706;1,4673;43,5707141;1,4660495;-111;-83;7;0,101540391;868,1;14;98,4;59,49582824;65,62097852;104,5251503;
43,5704;1,4673;43,5707141;1,4660495;-112;-82;7;0,106627259;868,1;14;97,4;58,07123994;65,62097852;104,9497386;
43,5699;1,4668;43,5707141;1,4660495;-114;-88;6;0,108859413;868,1;14;103,4;63,89128511;65,62097852;105,1296934;
43,5717;1,4661;43,5707141;1,4660495;-112;-89;7;0,109702574;868,1;14;104,4;64,82426853;65,62097852;105,19671;
43,5717;1,4662;43,5707141;1,4660495;-111;-86;8;0,110295533;868,1;14;101,4;61,77744637;65,62097852;105,2435322;
43,5705;1,4674;43,5707141;1,4660495;-110;-82;7;0,111375209;868,1;14;97,4;57,69283422;65,62097852;105,3281443;
43,5714;1,465;43,5707141;1,4660495;-112;-83;7;0,113867242;868,1;14;98,4;58,50062883;65,62097852;105,5203497;
43,5703;1,4674;43,5707141;1,4660495;-108;-83;8;0,118143689;868,1;14;98,4;58,18039436;65,62097852;105,8405842;
43,5698;1,4668;43,5707141;1,4660495;-109;-81;7;0,11826736;868,1;14;96,4;56,17130685;65,62097852;105,8496717;
43,5718;1,4661;43,5707141;1,4660495;-108;-90;6;0,120815079;868,1;14;105,4;64,986182;65,62097852;106,0347965;
43,5718;1,4661;43,5707141;1,4660495;-114;-93;7;0,120815079;868,1;14;108,4;67,986182;65,62097852;106,0347965;
43,5718;1,4662;43,5707141;1,4660495;-113;-89;7;0,121353753;868,1;14;104,4;63,94754063;65,62097852;106,0734379;
43,5715;1,465;43,5707141;1,4660495;-111;-88;6;0,1215957;868,1;14;103,4;62,93024052;65,62097852;106,090738;
